Title,Year,Rating,Rank
The Godfather,1972,9.2,1
Tokyo Story,1953,8.1,2
Seven Samurai,1954,8.6,3
The Godfather Part II,1974,9,4
Casablanca,1942,8.5,5
Citizen Kane,1941,8.3,6
Lawrence of Arabia,1962,8.3,7
12 Angry Men,1957,9,8
Sunset Blvd.,1950,8.4,9
Shoah,1985,8.7,10
Ordet,1955,8.2,11
All About Eve,1950,8.2,12
The Decalogue,1989,8.9,13
Pulp Fiction,1994,8.9,14
City Lights,1931,8.5,15
Ugetsu,1953,8.2,16
Singin' in the Rain,1952,8.3,17
Schindler's List,1993,9,18
The 400 Blows,1959,8.1,19
Goodfellas,1990,8.7,20
Children of Paradise,1945,8.3,21
Modern Times,1936,8.5,22
Psycho,1960,8.5,23
One Flew Over the Cuckoo's Nest,1975,8.7,24
M,1931,8.3,25
The Third Man,1949,8.1,26
Grave of the Fireflies,1988,8.5,27
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,28
Pather Panchali,1955,8.2,29
Rear Window,1954,8.5,30
Rashomon,1950,8.2,31
Apocalypse Now,1979,8.4,32
Night and Fog,1956,8.6,33
The Passion of Joan of Arc,1928,8.1,34
The Rules of the Game,1939,7.9,35
Bicycle Thieves,1948,8.3,36
Ikiru,1952,8.3,37
Sansho the Bailiff,1954,8.4,38
The World of Apu,1959,8.5,39
"The Good, the Bad and the Ugly",1966,8.8,40
Sherlock Jr.,1924,8.2,41
The Wizard of Oz,1939,8.1,42
Taxi Driver,1976,8.2,43
Kes,1969,7.9,44
The Battle of Algiers,1966,8.1,45
Chinatown,1974,8.1,46
A Man Escaped,1956,8.2,47
Metropolis,1927,8.3,48
North by Northwest,1959,8.3,49
The Grand Illusion,1937,8.1,50
Greed,1924,8,51
Fanny and Alexander,1982,8.1,52
Make Way for Tomorrow,1937,8.2,53
Kind Hearts and Coronets,1949,8,54
Woman in the Dunes,1964,8.5,55
Ran,1985,8.2,56
Andrei Rublev,1966,8.1,57
The Easy Life,1962,8.2,58
Mirror,1975,8,59
The Treasure of the Sierra Madre,1948,8.2,60
Late Spring,1949,8.2,61
Spirited Away,2001,8.6,62
Some Like It Hot,1959,8.2,63
Vertigo,1958,8.3,64
Paths of Glory,1957,8.4,65
A Brighter Summer Day,1991,8.2,66
A City of Sadness,1989,7.8,67
Double Indemnity,1944,8.3,68
The Cabinet of Dr. Caligari,1920,8,69
The Wages of Fear,1953,8.2,70
The Mother and the Whore,1973,7.8,71
La Dolce Vita,1960,8,72
Stop Making Sense,1984,8.7,73
One More Time with Feeling,2016,8.2,74
Ali: Fear Eats the Soul,1974,8,75
A Trip to the Moon,1902,8.2,76
Toy Story 3,2010,8.3,77
A Separation,2011,8.3,78
It's a Wonderful Life,1946,8.6,79
On the Waterfront,1954,8.1,80
The Maltese Falcon,1941,8,81
The Leopard,1963,7.9,82
"Rome, Open City",1945,8,83
 Century of Cinema,1995,8.5,84
The Seventh Seal,1957,8.1,85
The Wind,1928,8,86
Yojimbo,1961,8.2,87
The Gold Rush,1925,8.1,88
The Sorrow and the Pity,1969,8.2,89
Marketa Lazarová,1967,7.9,90
The Farewell,2019,7.5,91
The Great Dictator,1940,8.4,92
The Life and Death of Colonel Blimp,1943,8,93
War and Peace,1965,8.3,94
The Philadelphia Story,1940,7.9,95
Sunrise,1927,8.1,96
Man with a Movie Camera,1929,8.3,97
Raiders of the Lost Ark,1981,8.4,98
Orpheus,1950,7.9,99
Heimat: A Chronicle of Germany,1984,8.6,100
"Aguirre, the Wrath of God",1972,7.8,101
They Shall Not Grow Old,2018,8.2,102
The House Is Black,1963,7.8,103
The Night of the Hunter,1955,8,104
Balthazar,1966,7.8,105
"Steamboat Bill, Jr.",1928,7.8,106
Ivan's Childhood,1962,8,107
The Music Room,1958,7.9,108
The Shop on Main Street,1965,8.2,109
Three Colors: Red,1994,8.1,110
Hoop Dreams,1994,8.3,111
Rebecca,1940,8.1,112
It's Such a Beautiful Day,2012,8.2,113
Wild Strawberries,1957,8.1,114
A Matter of Life and Death,1946,8,115
Charulata,1964,8.1,116
The Conformist,1970,7.9,117
Playtime,1967,7.8,118
The Big Parade,1925,7.9,119
The Hole,1960,8.5,120
The Boat,1981,8.4,121
Umberto D.,1952,8.2,122
Inside Out,2015,8.1,123
Army of Shadows,1969,8.1,124
Monty Python and the Holy Grail,1975,8.2,125
Spider-Man: Into the Spider-Verse,2018,8.4,126
Au revoir les enfants,1987,8,127
The Last Picture Show,1971,8,128
Throne of Blood,1957,8.1,129
Hiroshima Mon Amour,1959,7.8,130
The Kid,1921,8.2,131
The General,1926,8.1,132
Apollo 11,2019,8.1,133
Cool Hand Luke,1967,8.1,134
Nights of Cabiria,1957,8.1,135
The Exterminating Angel,1962,8,136
Battleship Potemkin,1925,7.9,137
Stalker,1979,8.1,138
The Last Laugh,1924,8,139
The Cameraman,1928,8,140
Satantango,1994,8.2,141
Annie Hall,1977,8,142
Touch of Evil,1958,8,143
The Searchers,1956,7.8,144
8½,1963,8,145
